data_instance	premise	ask-for	hypothesis1	hypothesis2	true_label	predicted_label
dev-17	As he walked, he felt much heavier than before.	cause	Mr. Howard was going to hiking who had a big bag on his back.	Jack had stomach cramps.	0	0
dev-18	He obserevd the growth of the embryo inside the seed at first.	cause	He observed the process from germination of seeds to eventually maturation of plants.	Jack nurtures a newborn jackdaw.	0	0
dev-19	After the financial crisis, the suicide rate increased significantly.	cause	The financial crisis left many people homeless.	Time goes on.	0	0
dev-20	They often exchange their own privileges.	cause	The two competitors became friends of reciprocity.	Audrey and her friends take part in group trips.	0	0
dev-21	Mary read some papers.	effect	She made many mistakes because of her frets.	She knew lots of details.	1	1
dev-22	Sam wished to eat stew for supper.	effect	He never eats junk food.	Sam's wife went to buy some meat.	1	1
dev-23	It's half way through autumn.	effect	It has difficulty in running.	It rains more in half autumn than in spring and summer combined.	1	1
dev-24	The major planets interact.	effect	There is gravity among the planets.	There is magnetic force among the planets.	0	1
dev-25	Tom has a civet.	effect	The civet sleeps a lot.	The civet eats the fish quickly.	1	0
dev-26	Alice likes the smell of milk.	effect	She always eats cakes with a lot of cream.	She made some perfume.	0	0
dev-27	Jack wanted to know why Quasars drown out the light from all the other stars in the same galaxy.	effect	He took use of stoichimetry.	He looked it up and found out that it was because they were so bright.	1	1
dev-28	Simon's mother often let Simon eat soys.	effect	Simon grows healthy.	Simon is often sick.	0	0
dev-29	A factory produces several tons of tissues from straws.	effect	They are physically stronger.	The quality of these tissues is different.	1	1
dev-30	Jack added nitrites into the water.	effect	The catfish died earlier than the scalefish in the water.	The scalefish died earlier than the catfish in the water.	0	0
dev-31	His action led to the movement of the wheels.	effect	The machine was set in motion.	The second step followed it soon after.	0	0
dev-32	Jack's interest is to study human species.	effect	He decides to choose anthropology as his major in college.	Jack's company mainly uses nanotechnology.	0	0
dev-33	Father of our religion combined a union of opposite tenets.	effect	It accepted diverse cultures.	His action of syncretism was praised.	1	1
dev-34	Various features show that this is a dicot in the family Piperaceae.	effect	This seed is a monocot rather than dicot.	Researchers suspected it is a peperomia.	1	0
dev-35	Tom has measured the magnetism of the material.	effect	The result reached nearly four feet.	It is 15 gammas.	1	1
dev-36	Tom studied the types of polypropylene.	effect	He found that they came in five types.	He found that they came in two types.	1	0
dev-37	The source of the mud was investigated.	effect	It was reported that the soil source was very rich.	It was reported that the soil source was very dry.	0	1
dev-38	The student feel anxious to take the exam.	effect	They choose to watch porn online.	Her teacher gave her a warm smile.	1	1
dev-39	This charity donates money to Asian areas with famine.	effect	Some people western india were hungry.	Some people western india were helped.	1	1
dev-40	The state has launched a policy of collusion.	cause	The government is aware of the importance of children's health for the future of the country and wants to reduce child mortality.	The state began to crack down on competitive economic activities in an all-round way.	1	1
dev-41	Tom improved his learning efficiency today.	effect	Now he is proficient in giving a presentation.	He finished all his homework ahead of schedule.	1	0
dev-42	Tom cut the rind of the watermelon.	cause	Tom wants to take pictures with the watermelon.	Tom wants to eat watermelon.	1	1
dev-43	Tom has observed charge movement.	cause	Tom give the circuit voltage.	Tom has bought a mayfly.	0	0
dev-44	This child caught roseola.	effect	He succeeded via conjuring up a flower.	The child had a fever which followed by a rash.	1	1
dev-45	This phenomenon is called speciation.	cause	Scientists say that many species have become extinct since ancient times.	A species gradually adapted to its environment.	1	1
dev-46	He found out that cytokines worked in it.	cause	Tom was studying how body temperature rises.	The scientist testing lipoproteins.	0	0
dev-47	Now it's time to remove the drugs from the patient's body.	effect	The doctor uses the method of plasmapheresis to treat him.	Various elimination processes was adopted to achieve that.	1	0
dev-48	He successfully solved the problem.	effect	He cannot solve the problem from start to finish.	He has a clear understanding of this problem.	1	0
dev-49	The villagers were happy about the harvest.	effect	They responded with a public press.	They had enough food this year.	1	1
dev-50	The lecturer is talking about t lymphocytes.	effect	I can hear blindness sometimes.	I can hear t-cells sometimes.	1	1
dev-51	He found the pyridine disappeared.	cause	The doctor traced the sources of this toxin.	The scientist put some pyridine in the water.	1	1
dev-52	Amy served as an assistant in this company.	effect	Amy is good at services work.	She is hired by a potent company for her potential to make interest.	0	0
dev-53	Human might get infected owing to sick mosquitoes.	cause	Harmful bacteria can make people sick.	Virus attacked the mosquitoes.	1	1
dev-54	It is difficult for him to get mind equilibrium now.	cause	Henry always runs into hindrances in doing business.	He suffers from epilepsy.	0	1
dev-55	The school will hold a ceremony the day after tomorrow.	effect	The school will hold a simulation in advance tomorrow.	The school takes no behaviors.	0	0
dev-56	Tom has taken use of two pieces of magnets to make his experiment.	effect	They are dextrorotary and levorotary.	He has proved something about the attraction.	1	1
dev-57	Tom takes use of a thermostat.	cause	The small chicken shoud be incubated under the same temperature.	Tom always catches a cold.	0	1
dev-58	She cannot have contact with dough.	cause	Lucy has constipation.	She is allergic to yeast.	1	1
dev-59	The workers have no idea about how to operate the computer.	effect	Their teacher told them the answer was limestone.	The leader taught them in person.	1	1
dev-60	The patient with fibroadenomas read his report of mammography.	effect	He was in relief for its benign appearance.	They collect many fibres.	0	0
dev-61	The children will be shipped off to a boarding school.	effect	Their parents taught their children how to solve living problems independently before going to school.	Various elimination processes was adopted to achieve that.	0	0
dev-62	He went to school.	effect	He learned a lot.	He was good at social interaction.	0	0
dev-63	The workers are in charge of cleaning debris.	effect	They have to consider the waste.	Tom brings a clean dry rag and start cleaning the dirty floor .	0	0
dev-64	The doctor said that his heart rhythm is uneven.	cause	Jack's infusion speed was uneven.	He asked the cardiologist to watch the condition of the heart.	1	0
dev-65	Enzymes are necessary for children's growth.	effect	Then kids can grow taller.	Children are encouraged to eat sprouts.	1	0
dev-66	Parliament is a place of justice.	cause	My father really wants individual liberty and individual responsibility.	The house of the people holds justice.	1	1
dev-67	The man devoted himself to journalism.	effect	He mastered the popular language used in pursuit of truth.	He became fatter.	0	0
dev-68	He said he got a ladybug.	cause	Tom went to the zoo.	Tom found a small dome-shaped beetle.	1	0
dev-69	The primates didn't want to be exhibit animals.	effect	They escaped from the zoo.	They ran to the dianosaurs.	0	0
dev-70	The root of the plant rotted.	effect	In order to save the plant, Tom gave it a rhizoid.	The plants were beginning to wilt.	0	1
dev-71	Tom was a shepherd.	effect	He took care of a flock of sheep.	I respected his extensive observations.	0	0
dev-72	Tom feels that his asthma is about to attack.	effect	He was injected with some water.	He eats some singulars.	1	0
dev-73	But the students can't understand the example.	cause	The teacher gives an example to illustrate the grammar point.	Researchers are debating.	0	0
dev-74	The scientist observed its appearance.	cause	Nobody has seen edaphosauruses before.	A scientist has picked up a paramecium and curious about it.	0	1
dev-75	All relatives entered the family room.	effect	Their ages ranged from 20 to 50 years old.	They sat on the chairs one by one.	1	1
dev-76	There are many people, among which part of them are with normal sight and part of them are blind.	effect	Their disability can be rated by following a continuum.	Normal people can see everything and blind people are in a dark world without any light.	1	1
dev-77	The wine must be kept from becoming flabby.	effect	The alcohol worked.	Acidity should be used.	1	0
dev-78	Tom ran into an anemone.	effect	Spontaneous ignition occurred.	He was poisoned.	1	1
dev-79	The company loses one million due to rust after a few months.	cause	The company keeps the steel in a wet warehouse.	Qualcomm Company has applied for many patents.	0	0
dev-80	Mary ate lots of chocolate.	effect	She also intook theobromine.	She eats more nutritious food than before.	0	0
dev-81	Farmers do not use softwoods as firewoods.	cause	Tracheilds are not suitable to be used as fire materials.	Tom went into the farm.	0	0
dev-82	The field was very quiet at night.	effect	Suddenly it began to rain.	The silence was broken by several bird calls.	1	1
dev-83	It died.	cause	The possum has eaten an ill bird.	The fish has suffered from the infection.	0	0
dev-84	He served as an accountant in this company.	effect	He got a copy of the contract.	He worked hard to manage the balance.	1	1
dev-85	Lyle's doctor treated him with a laser.	cause	Lyle has ophthalmologist.	Logan got bone cancer and his osteocytes lost the function of secreting enzymes.	0	0
dev-86	This experiment requires a gray-white solid with a shiny surface.	effect	It is not worth seeing grays.	The teacher provided tellurium.	1	1
dev-87	Their new baby born yesterday.	effect	This new life starts to cry.	He is likely to see cottonmouths around.	0	0
dev-88	Compression sound waves were produced.	cause	Tom plucked the strings and the friction between the strings and the air produced vibrations.	The vocal folds vibrated.	1	1
dev-89	He has been dizzy lately.	cause	Brants had a terrible headache when he was on the field.	Jack's hemoglobin levels are low.	1	0
dev-90	Jerry was baptized.	effect	The public saw baptism.	He was identified by the believers.	1	0
dev-91	Emma, who is a regular coffee drinker, is very hyper these days.	effect	She often deals with their delirium.	The doctor diagnosed him as caffeinism.	1	0
dev-92	He defecates on time every day.	cause	Tom eats some health products containing enzymes every day.	My pig took in high fiber feed ingredients.	0	0
dev-93	The angry patient was injected depressants.	effect	He felt angry and scrared.	He felt calm and relaxed.	1	0
dev-94	The victims were taken to the police office to identify the crimnimal.	effect	They tried to recall the face of the criminal.	They found the body as a female college student.	0	0
dev-95	She has made a glass of smoothy.	cause	Alice wants to feel the moisture.	Lucy has bought a llot of fresh fruit.	1	0
dev-96	He just took the pills.	effect	He wants to sleep very much now.	He asked the doctor to gave him some depressants.	0	1
dev-97	I've been picking fish bones for a long time.	cause	My mother stewed a mahimachi for me at noon.	The piranha was hungry and found a dead fish.	0	1
dev-98	They are botanists.	effect	When scientists took photos today, they found that the protein structure on the surface of rotavirus has changed.	They collect specimens everyday.	1	1
dev-99	He caught a bluegill.	cause	John craves for baby bluebirds.	The old man wants to catch some sunfish.	1	1
dev-100	This mobile phone is not durable.	effect	The battery often fails to charge.	It can be repelled by an inducing corn field.	0	0
dev-101	He failed.	cause	Tom was finding the fly in his house at night.	The patients was in the process of the treatment.	0	1
dev-102	The baby ground squirrels were hidden by their mom.	effect	They were not found by the rattlesnakes.	Visitors find it hard to distinguished them.	0	0
dev-103	He was sentenced to death.	cause	Tom committed incest and rape.	The cerebral cortex of his brain was damaged.	0	0
dev-104	Gongress passed some proposals.	effect	The economy has been improved a lot.	Small buiness benefited from these proposals.	1	1
dev-105	Tom's taste buds on his tongue all lost their function.	effect	Tom couldn't be able to know the taste of whatever he eats.	Tom's body began to regulate, reducing the secretion of adrenal hormones.	0	0
dev-106	His thyroid can't uptake iodine normally.	cause	He mistook lots of thiocyanate.	Tom was advised to take in necessary minerals.	0	0
dev-107	This creature has no anatomies.	effect	Tom decided it isn't a colugo.	The doctor diagnosed him with mumps.	0	0
dev-108	He fed meat to the Jackrabbit.	effect	The jackrabbit doesn't eat at all.	It chewed the food from its ruminant stomach again.	0	0
dev-109	Tom perfers beers made with bottom Fermenting yeasts.	effect	He ordered lagers in the bar every time.	The doctor said he was malnourished.	0	0
dev-110	The species populations in this area changed abnormally over time.	effect	Situations of this area got much worse.	The process of Succession here was worth exploring.	1	0
dev-111	Only beryllium has been left.	cause	This flower's carpel was damaged.	Tom has put different kinds of materials in the furnace.	1	1
dev-112	Pictographs were formed step by step.	cause	The ancients recorded by picture writing.	His presentation is divided into several modules.	0	0
dev-113	My car is exposed to the acid rain,.	effect	It temperature hasn't been influenced.	The paint on my car is clipped.	1	1
dev-114	Jane wanted to buy a book full of maps bound together.	effect	She booked a ticket of a museum.	She bought some atlases.	1	1
dev-115	Mary put the cake into the refrigeratory.	effect	Mary complained that the cake became too dry the next day.	Mary found the cake was rich in moisture the next day.	1	1
dev-116	The doctor treated little Tom's autism with medication.	effect	After three months of treatment, his autism has improved significantly.	He had a step-by-step process.	0	0
dev-117	There are many trees with different ages.	effect	They have different textures.	Scientists have discovered different stages.	0	0
dev-118	Gauss strength diminishes the further the distance from the magnetic field.	cause	Tom wrote in his physics exam that gauss refers to the casual strength of a magnetic field of energy.	Surface gauss depends on thickness and size of the magnet.	1	0
dev-119	They are large.	cause	This group of Greys have grown up.	Coniferous trees are tall.	0	1
dev-120	It can hold water up to two liters.	cause	The sink has great capacity.	Tom is a mathematician.	0	0
dev-121	Jack looks at the shape of the rotifers.	effect	Jack sees many particles.	He saw their bilateral symmetry.	1	1
dev-122	The doctor's diagnosis confirmed his thought.	cause	Tom did examinations to see whether he got cancer.	Tom had an angiogram at the hospital.	0	0
dev-123	Tom believes that dogs and wolves belong to the same phylum.	effect	Tom is wrong.	Tom is right.	0	0
dev-124	The light was off at 10 pm.	effect	My pupils became samller suddenly.	My pupils became bigger suddenly.	1	0
dev-125	Susan is a midwife.	effect	The goldfish swim away.	She was specially trained in childbirth.	1	1
dev-126	He invited his partners to his residence.	effect	They entered his residence.	In view of employment, China's economic activities have increased after the Reform and Opening Up.	0	0
dev-127	Pecan should be stored in the relatively dry environment.	cause	In the humid environment, pecan is easier to grow mold on it.	Pecan like humid environment.	0	1
dev-128	Another bilogist helps him.	cause	The botanist needs natural extraction of Terpenes.	This biologist has problems in other scientific fields to solve.	1	1
dev-129	As time goes by, their influence on members grows stronger and stronger.	cause	Leaders of pyramid schemes are extremely good at instilling their own perceptions to members.	Leaders of pyramid schemes are extremely good at controlling members.	0	1
dev-130	Tom was looking for Amphibians in winter.	effect	He could only found some sleeping.	I took him to the natural habitats of rhinos.	0	0
dev-131	The murderer didn't accept himself for a whole life.	effect	He didn't achieve wellness.	He experienced suicide.	0	1
dev-132	He eats very little.	cause	My pet tom is in the mating season.	My pet tom is in the growing season.	0	0
dev-133	Tom's family go hiking on the plain.	effect	They find mangroves.	They saw many swamps.	0	1
dev-134	This kind of bear grew in the forest.	effect	This kind of bear habitates in the forest.	It became a female.	0	0
dev-135	On the surface of water mains is some solid stuff.	cause	Water with minerals flows in the water mains.	Pure water flows in the water mains.	0	1
dev-136	She had been suffering from diabetes.	cause	Tom neglects personal hygiene.	She was particularly fat.	1	1
dev-137	Testicles descend.	cause	It is in the breeding season.	The woman was pregnant.	0	0
dev-138	He opened his mouth.	cause	The anaconda saw his food in the forest.	The mayor gathered the people of the whole city in the square.	0	0
dev-139	The rope connected to my dog was broken.	effect	Other boys followed to joint it.	It ran to other's areas.	1	1
dev-140	His legs are entangled in duckweed.	cause	Tom was walking in the jungle.	Tom was standing in the river and can't move a step.	1	1
dev-141	Tom observed that most of them contain several associated centromeres.	cause	Tom searched the typical structure of fullerenes.	Tom observed the nucleoli of different kinds of chromosomes under the optical microscope.	1	1
dev-142	The research set specific aspartate sites.	effect	Caspases cleave target proteins.	He found that there were some dinoflagellates.	0	0
dev-143	We succeed in the end.	effect	Our fate has been changed.	Voldemort became the ultimate villain in the end.	0	0
dev-144	Their cotyledons are destroyed first.	cause	The tardigrades are threatened.	Some plants are infected by a rare kind of virus.	1	1
dev-145	They went to catch eels today.	effect	Many were found after seeing a leaking head in crevices.	Both of them took Penicillins and recovered.	0	0
dev-146	The goats died of blood shortage.	cause	The eucalyptus all died from lack of water.	Tom's goats were attacked by vampires.	1	1
dev-147	This user spent over 8 hours a day at this site.	effect	The usage rate of this company's products rose from second to first.	This user had a high level of stickiness.	1	1
dev-148	Lucy gave me a pen.	effect	I added black ink into it.	I bought ink for the pen.	1	1
dev-149	A carpenter will be recruited.	cause	The family cannot afford the tuition for the three children.	We need a person skilled in all aspects of construction.	1	1
dev-150	Tom is American.	cause	Tom is a homo.	Tom was born and brought up in Indinana.	1	0
dev-151	The body decomposes gradually.	cause	Some enzymes are working on the dead body of a bird.	The clinical manifestations of wilson disease mainly are dyskinesia such as limb tremor, bradykinesia, gait instability and lmental symptoms such as lethargy, mental behavior changes.	0	0
dev-152	Many goods have been reduced in price recently.	effect	Deflation makes all kinds of shops miserable.	Buys are satisfied with the  trend.	0	1
dev-153	Judy suffered from tics.	effect	The vet asserted it has panleukopenia.	She had involuntary movements in her body.	1	1
dev-154	Tom wants to have a bath.	effect	Tom filled the bath tub with hot water.	His owner poured a bowl of water for him.	0	0
dev-155	This monster was pleased.	cause	This monster killed a boy.	This monster saved a boy.	0	0
dev-156	Hardwoods are deciduous.	effect	They lose their leaves each fall.	There is mud to help them grow.	0	0
dev-157	The scientist finds that aeration also accurs as they grow.	cause	Knowing that live plants will release oxygen as they grow, a scientist makes experiments to find more information about their process of growth.	There is a research about the cultivation of bateria.	0	0
dev-158	John only sells amphetamines.	effect	After that, he became addicted to these drugs.	He only looks for people who have failed other weight loss methods.	1	0
dev-159	The reader felt  as though it had human capacities.	cause	The author used Personification to descibe the inanimate object.	Some human events were engraved on the people's mind.	0	0
dev-160	They found there were  a basilar turn with a cystic cavity.	cause	They dissected the human ear to see the structure of cochlea.	The dentist in need of cavity samples checked many children's teeth.	0	0
dev-161	His mother carried the decay-causing bacteria and kissed him.	effect	Their mouths were dripping with saliva.	He was infected.	1	1
dev-162	Workers use acrylamide.	cause	The worker is importing a lot chitin.	Oil is lost quickly during drilling.	1	0
dev-163	The insects decreased swiftly in number.	cause	Several moles were introduced into a piece of farmland where harmful insects thrived.	The gardener was asked to kill the insects in the garden.	0	0
dev-164	Tom's grandmother is a witch.	effect	Many altars have been set up in his courtyard.	Her brother sought out a psychoanalyst to treat her.	0	1
dev-165	Breast tissue is expected to be activated.	effect	Prolactin is needed.	The sperm can swim freely.	0	0
dev-166	Tom majored in kinesiology.	cause	Jerry is interested in the study on the oldest dogs living.	Tom was interested in studying movement.	1	1
dev-167	We came to Pygmy land.	effect	They took us in.	You can see many birds there.	0	0
dev-168	He went to a volcano and got some accumulations of unconsolidated materials on the flanks.	cause	He put clay and wax in the sun.	Tom wanted some lahars.	1	0
dev-169	The doctor said he was suffering from a skin disease.	cause	The thinning of glomerular basement membrane seriously affected his health.	Tom sweats a lot.	1	1
dev-170	He found ways to prevent oxidation.	cause	Tom doesn't know Berkelium.	The seller should avoid nature's way of spoiling things like food.	1	0
dev-171	She is very good at communicating with others.	cause	Susan's cell phone is very hot after use.	She is the best receptionist in her company.	1	1
dev-172	His friend saw the two small front limbs on that photo.	cause	Jessy saw a picture of spine.	The man took a photo of the bipe.	1	1
dev-173	He can't see clearly.	effect	There must be something wrong with his nose.	There must be something wrong with the nuclei in his brainstem.	1	0
dev-174	Tom has a weak photosensitivity.	effect	Tom only knew three parts of speech.	He was allergic to the sunshine.	1	1
dev-175	The researcher marked the different allotropes of sulphur.	effect	The researcher found five types of sulphur.	Among them the researcher found the toxic oxidants.	0	0
dev-176	The whole kitchen was burnt down more quickly.	cause	Bill put oil on the firewood.	Tom put his porridge into the microwave oven.	0	1
dev-177	The doctor gave him some medicine containing spectinomycin.	cause	He wiped those nourishment on the tissue.	Lucy has suffered from the gonococcal infection when she was pregnant.	1	0
dev-178	The doctor used antipyretic to treat her fever.	cause	A woman got infectious in her wound, which led to bacteremia.	The doctor traced the sources of this toxin.	0	0
dev-179	Jack put amylase into starch.	effect	The breakdown of starch is accelerated.	The food in his body digested quickly.	0	0
dev-180	He often catches walleye.	cause	Peter likes to go fishing by the lake in spring.	He lives in the coastal area.	0	0
dev-181	He recently was diagnosed with the multiple sclerosis.	cause	Tom has wristed his hands.	Tom suffered from the demyelination many years ago.	1	1
dev-182	There are different kinds of weather in different places on the earth.	effect	People are praying for more corns this year.	It is much colder along fault lines.	1	1
dev-183	Luke's backbones received outside pressure.	effect	His rigid bones bent.	Luke has the right to hold concils.	0	1
dev-184	Gems are precious.	effect	Everyone cherishes the gem as the treasure although there are something else in the mineral kingdom.	They company with their wives and never leave them.	0	0
dev-185	Jack is a hairdresser.	effect	His hands were corroded by chemical products.	He or she tends to be allergic.	0	1
dev-186	Tom submitted my ideas as his own.	effect	He became excited.	He was accused of plagarism.	1	0
dev-187	His eyes were lack in light-gathering agents.	effect	His body's resistent to infection was lowered.	He should eat more carrots which is rich in carotenoids.	1	0
dev-188	Tom was a homosexual.	effect	He also had basic needs to make love as others.	The hospital put him in an isolation ward and sterilized him daily.	0	0
dev-189	He produced wonderful literature based on his experience.	cause	Hemingway had a rich life experience.	This boy has little life experience.	0	0
dev-190	The patient is plagued by weakness.	cause	The patient suffers from post-polio syndrome.	Loggerheads atre abundant in the sea.	0	0
dev-191	Tom is taking a course in cryobiology.	effect	When he does experiments, he needs to freeze the biological specimens in advance for observation.	He took use of stoichimetry.	0	1
dev-192	Temperature in this house can be very low in winter.	cause	This house has some infiltration problem.	These people lives on the torrid zone.	0	0
dev-193	Emily has many beautiful dolls.	effect	Each of them has a fashion hairstyle.	They are popular.	0	0
dev-194	The physics teacher will explain the nature of current in this lesson.	effect	He talked a lot about current loads.	It indicates the time.	0	0
dev-195	He found many trees with good branches.	cause	Jason planted pineapples in the direct-sunlight place.	Bob wants to study photosynthesis.	1	0
dev-196	The customer considered geomancy  very important.	effect	The house selling girl emphasized the high price of the house.	The house selling girl emphasized the spiritual ecology of the house.	1	1
dev-197	They can live well in winter.	cause	They dig to the subsoil.	Seals are mammals.	1	0
dev-198	His mother's bone began to lose rapidly.	cause	Tom had an osteoma.	His mother has just gone through menopause.	1	0
dev-199	The bulk of the heart's mass was negatively affected.	cause	The heart contracted.	This disease caused degenerative changes of the myocardium in Tom's heart.	1	0
dev-200	My baby was baptized.	cause	The Father gave my baby immersion.	The whole famly has made a complete plan.	0	0
dev-201	Tom wandered in the early spring.	effect	Tom saw penguins.	Tom saw snowdrops.	1	1
dev-202	I am a citizen with all legal rights.	effect	I have enfranchisement regardless of my nationality.	They hardened.	0	0
dev-203	I lack vitamin C.	effect	My mom buys oranges for me.	I have it by drinking.	0	1
dev-204	Their nomadic lives were broken.	cause	Parakeets were caught by hunters in their natural environment.	Budgerigars live on cliffs.	0	0
dev-205	Mary wants to cook in the kitchen.	effect	The doctor measures her weight.	Mary find the kitchen in a restaurant.	1	1
dev-206	She can have a rest after the daytime.	cause	Lucy works in a courthouse.	Lucy works in a bar.	0	1
dev-207	Lucy has reached her sexual maturity.	effect	She had involuntary movements in her body.	Her menstruation starts.	1	1
dev-208	He was shocked.	cause	He went to Africa and saw camels.	Tom saw a typical virago for the first time.	1	1
dev-209	The percentage of oxygen is low in water.	effect	Iguanas have difficulty in breathing.	Vehicles of too big sizes cannot enter it.	0	0
dev-210	The vegetation there is exceptionally vigorous.	cause	This place is warm and humid.	The rain forest abounds with rain.	1	1
dev-211	His wound no longer hurts, and he fainted after being excited.	cause	The doctor gave him a dose of medicine.	He took opium.	1	0
dev-212	He found its jaw.	cause	The zebre saw a lion.	Tom cut the head of the perch.	1	1
dev-213	Weightlifters train very hard.	effect	Their muscles grow fast.	They are constantly learning new skills.	0	0
dev-214	He used the picture of its dense pulses to prove his opinion.	cause	He portrayed the tree as if it had human capabilities in his essay.	The phonetician said the sound has a high frequency.	1	1
dev-215	The pond is teemed with eggs. .	cause	Jack often goes to the pond to watch tadpoles.	The frogs have spawned these days.	1	0
dev-216	Sally's throat is severely inflamed.	effect	Sally cannot make any sound.	Her sight was harmed.	0	0
dev-217	The birds located this zone as habitat.	cause	No part of zones is good for living.	This part of zone is comfortable for birds to live.	1	1
dev-218	He found a lot of taurine.	cause	John was studying the cellular composition of mammals.	My son wanted to learn distribution of plant species.	0	0
dev-219	Kate felt surprised and novel.	cause	Mother told Kate how the Osprey carried food.	Kate's mother tells Kate fairy tales every day.	0	1
dev-220	The subjects' heart rates varied widely.	cause	The doctor touched the subject's breast.	The doctor touched the subject's shoulder.	0	0
dev-221	The country lacks carbohydrates.	effect	They are short of the primary source of fuel.	Nutritionists suggest balanced food mix.	0	1
dev-222	The little pigeons that he nurtures can fly faster.	cause	Harry always uses little pigeons to deliver letters.	Harry keeps pairing two flying pigeons.	1	0
dev-223	Scientists arrived in the ice free coastal areas of the Arctic highlands to investigate.	cause	Scientists observe the reproduction process of perch.	Scientists want to study narwhals in the summer.	1	1
dev-224	He was diagnosed with a kind of syndrome.	cause	Tom suffers from hypocalcemia.	Tom got infected by something unknown.	1	0
dev-225	Alan coated his skin with beeswax.	effect	He was poisoned.	He tore off the beeswax and successfully depilated.	1	1
dev-226	Tom's father is a chef.	effect	He has a recipe of the dishes that he is good at.	Tom wants to show off his cooking skills.	0	0
dev-227	He was surprised at their ways similar to multicellular animals.	cause	The experimenter expected the Paramecium has a special way of consuming food.	Tom has met two plesiosaurs.	0	0
dev-228	She didn't cared about her latency.	cause	Lucy has taken a vague photo.	The kid hoped to stay away from learning.	1	0
dev-229	The chemist is drawing a tree of the platinum group of metals.	effect	He draws ruthenium as one branch of the tree.	He draws plastics as one branch of the tree.	0	0
dev-230	Several days later, this lake is filled with microbes.	cause	A few microbes live in this lake.	Tom accidentally threw some waste containing curium into a lake.	0	0
dev-231	The cattle was poisoned.	cause	Farmers always burn stalks.	The cattle accidentally ingested nitrate.	1	1
dev-232	He eats some capsaicin and the pain is mitigated.	cause	The wound left during an accident causes great pain for Tom.	Jack has been suffering from stomach cramps lately.	0	0
dev-233	The chaps ran into problems.	effect	They managed to slove the problems.	The manager solved these problems in time.	0	0
dev-234	The chemistry teacher used some polymers for experiments.	effect	He changed its ranges many times.	The experiment produced a lot of smoke.	1	1
dev-235	Tom listened to the advice from his teacher.	effect	He learned about his teacher's experience as well.	The teacher told him to open to each moment with calm awareness.	0	0
dev-236	His father was getting weak and suffering from lung cancer.	cause	Mike was 30 years old.	His father often smokes.	1	1
dev-237	His mother cooked some custards and milk for him.	cause	John wanted to eat the first discovered variety of macaques.	Tom was hungry when he got up.	1	1
dev-238	Lymphocytes around the patient's buttom got disease.	effect	The surrounding vessels were influenced.	The patient went into convulsions.	0	1
dev-239	She eats some laxatives and her colon expels shit swiftly from the bowel.	cause	Linda has suffered from constipation for a week.	Anna lacks pepper in her intestinal area.	0	1
dev-240	This peccarie was unharmed.	cause	Tom constantly added some salt into a water tank containing halophiles.	A peccarie was attacked by a snake with venom.	1	1
dev-241	My friend found more small bolts for me.	cause	I ran out of ammunition for my crossbow.	Smoking will inhale nicotine.	0	0
dev-242	Batteries should not be casually thrown.	cause	Tom accidentally threw some waste containing curium into a lake.	Anything containing caustic mixtures of chemicals should not be casually thrown.	1	1
dev-243	Tom felt so nervous in the running competition.	effect	His leg cramps.	His natural temperament was affected.	0	0
dev-244	Tom is under the weather.	effect	The doctor prescribed him an emetic.	The doctor gave him some medicine.	0	1
dev-245	It is a freshwater lake.	effect	Various species live in this lake.	There is no living beings in this lake.	0	0
